city,count,mean,std,min,p25,p50,p75,max
青岛,19905,246.79,262.69,13.5,108.0,170.0,290.0,6600.0
济南,20280,174.57,130.87,10.0,95.0,145.0,210.0,2490.0
泰安,5250,128.54,79.08,18.0,82.0,106.0,145.0,788.0
临沂,9587,115.65,75.55,12.0,72.0,99.0,134.65,1260.0
济宁,5739,109.75,60.45,4.5,73.0,100.0,130.0,1360.0
烟台,20033,102.97,87.44,8.2,58.0,82.0,120.0,2800.0
淄博,6456,99.75,66.5,10.6,59.8,85.0,120.0,1100.0
威海,11514,90.93,96.36,4.6,38.82,72.0,114.88,4200.0
潍坊,19014,83.16,46.96,8.0,54.0,72.0,99.0,830.0
菏泽,11314,60.83,27.12,5.5,42.0,56.0,74.0,550.1
